sentence_id,samples,entity_1,entity_2,e11,e12,e21,e22,relations,partition
ca95ed76,"even republicans concede the president 's action could hurt their candidates , particularly moderates like representative christopher shays of connecticut , who face tough re-election contests . '' ",christopher shays,connecticut,16,17,19,19,/people/person/place_lived,train
ca65b3de,"everything here is inspired by the northern half of italy -- abruzzo and umbria , but especially tuscany and piedmont . ",italy,tuscany,9,9,17,17,/location/country/administrative_divisions,train
c8f2c999,ms. rice flew unannounced to iraq at the start of a middle east trip . ,middle east,iraq,11,12,5,5,/location/location/contains,train
c971c969,"the flood hit early sunday morning in dire dawa , in eastern ethiopia , when many people were still sleeping . ",ethiopia,dire dawa,12,12,7,8,/location/country/administrative_divisions,train
c99ae956,"for instance , in cook county , home to chicago and nearby suburbs , nearly half of all first-lien home purchase loans made in 2005 were subprime in neighborhoods where minority groups make up 50 percent or more of the population , according to mortgage data collected by the federal government . ",cook county,chicago,4,5,9,9,/location/location/contains,train
ca715d48,"the internet , he says , will level the playing field for china 's enormous rural underclass ; once the country 's small villages are connected , he says , students thousands of miles from shanghai or beijing will be able to access online course materials from m.i.t. or harvard and fully educate themselves . ",shanghai,china,35,35,12,12,/location/administrative_division/country,train
ca59de9c,"china offered similar incentives to taiwan late last year if it accepted the mainland 's claim of sovereignty , which beijing refers to as its '' one china '' policy . ",china,taiwan,0,0,5,5,/location/country/administrative_divisions,train
c8a62726,"jack whiteford , a regional sales manager in taipei , taiwan , said he was worried that his employer , whom he declined to identify , might not indemnify him against the much higher taxes he will face under the new law , making it far less attractive for him to stay overseas . '' ",taiwan,taipei,10,10,8,8,/location/location/contains,train
ca5859fd,"david ter-oganyan of russia , who last year won the country 's black square art prize , salted various corners of the lenin museum with melons , jars and other objects affixed with tape and timers -- creating disturbing encounters in a country that has suffered dozens of terrorist bombings stemming from the war in chechnya . ",russia,chechnya,3,3,55,55,/location/country/administrative_divisions,train
c9f85317,"lamb & jaffy 1073 manhattan avenue -lrb- eagle street -rrb- , greenpoint , brooklyn ; (718)389-3638 . ",greenpoint,brooklyn,11,11,13,13,/location/neighborhood/neighborhood_of,train
ca134674,a federal judge in new york told the defense department yesterday that it would have to release perhaps dozens of photographs taken by an american soldier of iraqi detainees in the abu ghraib prison in iraq . ,iraq,abu ghraib,35,35,31,32,/location/location/contains,train
ca69add8,"it is just outrageous lawlessness , '' ms. soltayeva said in an interview in grozny , chechnya 's capital . ",chechnya,grozny,16,16,14,14,/location/location/contains,train
c9927e79,"telefónica of spain is in preliminary talks to acquire kpn of the netherlands for about $ 24 billion , in a transaction that could spark another round of consolidation in europe 's telecommunications industry , according to executives involved in the discussions . ",europe,spain,30,30,2,2,/location/location/contains,train
c8ed982e,"the south stands at armageddon , '' griffin said in a telegram to georgia 's board of regents , detailing his request that teams in the state 's university system not participate in events in which races were mixed on the field or in the stands . '' ",georgia,griffin,13,13,7,7,/location/location/contains,train
c9c3f7c4,"punch lines after his impressive third-round technical knockout over cosme rivera on saturday , the welterweight champion zab judah -lrb- 34-2 -rrb- of brooklyn said the best was yet to come . '' ",zab judah,brooklyn,17,18,23,23,/people/person/place_of_birth,train
c9a89c0f,"mr. foggo is an agency veteran who spent two decades undercover in five foreign postings , including tegucigalpa , honduras ; vienna ; and frankfurt . ",honduras,tegucigalpa,19,19,17,17,/location/country/capital,train
ca08b7d7,"in 1940 , cox came to new york city , where her husband , john cox , accepted a teaching position at city college and she a position at hunter college . ",new york city,hunter college,6,8,29,23,/location/location/contains,train
c966e351,"in lieu of flowers , the family requests contributions to the american museum of natural history , central park west at 79th street , new york , new york 10024 . ",new york,american museum of natural history,24,25,11,15,/location/location/contains,train
c980ab9c,"a picture caption with the vows column last sunday , about the marriage of priya sachdev and vikram chatwal in new delhi , misstated the nature of the ceremony . ",priya sachdev,new delhi,14,15,20,21,/people/person/place_of_birth,train
c934c0cf,"she spent more time shuttling between jordan , jericho and jerusalem than in her lightning-quick meetings with mr. abbas and with prime minister ehud olmert and foreign minister tzipi livni of israel . ",tzipi livni,israel,28,29,31,31,/people/person/nationality,train
ca2879a1,"in the case of '' half nelson , '' released on friday , shareeka epps 's journey to the screen ran through '' gowanus , brooklyn , '' the director ryan fleck 's short about a girl 's strained friendship with her drug-addicted schoolteacher . ",half nelson,brooklyn,5,6,25,25,/film/film/featured_film_locations,train
c953467a,"fresh from his never-in-doubt re-election as berlin 's mayor , klaus wowereit was soaking up the vibe at popkomm , a music-industry trade show where the conventioneers favor fishnet stockings and motorcycle boots . ",klaus wowereit,berlin,10,11,6,6,/people/person/place_lived,train
c9cd865e,"since the marchioness moved from hatfield to london , when her husband died -- '' it 's how its done in england , '' she said with a laugh . '' ",england,london,21,21,7,7,/location/country/capital,train
c8c172b1,a study in the veneto region of italy indicated that the risk of dying of sudden cardiac death among young athletes was two and a half times that of nonathletes . ,italy,veneto,7,7,4,4,/location/country/administrative_divisions,train
c935162f,"back in 1970 the couple , both california natives , had bought a woodsy plot in laytonville , calif. , about 150 miles north of san francisco . ",california,san francisco,7,7,25,26,/location/location/contains,train
c8c0d72f,"today , work is under way to develop large-scale programs of scientific and technical cooperation between aviation companies in russia and europe . '' ",europe,russia,21,21,19,19,/location/location/contains,val
c91f679c,"it should not have to endure political shakedowns , even when they come from well-meaning conservatives -- as is happening right now in michigan , where attorney general mike cox , a republican , is demanding that the foundation increase its spending in the detroit area . ",mike cox,detroit,28,29,44,44,/people/person/place_of_birth,val
c9ddb8c9,"the candidate , andrés manuel lópez obrador , a former mexico city mayor who took on mexico 's entrenched oligarchy , chose the anniversary of the mexican revolution for the event . ",mexico city,mexico,10,11,10,10,/location/administrative_division/country,val
ca70822e,"but she would immensely enhance her own power , and her husband 's , by winning the chance to represent buenos aires province , home to nearly 40 percent of argentina 's 38 million people . ",buenos aires province,argentina,20,22,30,30,/location/administrative_division/country,val
c8efdde6,creative '' is n't code for booking an excruciatingly frugal trip to belarus in the off-season -lrb- although i hear minsk is lovely -rrb- . ,belarus,minsk,12,12,20,20,/location/country/capital,val
c9af42e7,"mayor andrés manuel lópez obrador of mexico city , the front runner in most polls , portrays himself as a poor man among mexican politicians . ",andrés manuel lópez obrador,mexico city,1,4,6,7,/business/person/company,val
c8a55acb,prime minister paul martin made a campaign promise to ban handguns in canada to put an end to a rash of gang shootings in toronto . ,toronto,canada,24,24,12,12,/location/administrative_division/country,val
c8b620bf,"also last week , however , the administration was on a moral crusade that could lead to a significant rise in aids cases in russia , china , elsewhere in asia and in the former east bloc . ",asia,china,30,30,26,26,/location/location/contains,val
c951ee07,"his father , an infertility specialist , is a partner in reproductive biology associates , a clinic that provides in vitro fertilization services , and is on the board of the high museum of art , both in atlanta . ",atlanta,high museum of art,38,38,31,34,/location/location/contains,val
c9303c6c,"when news of the planned evacuation reached them , they walked , sometimes hundreds of miles , carrying bibles and torah scrolls , until they reached a refugee camp at the british protectorate of aden , on the southern tip of yemen . ",aden,yemen,34,34,41,41,/location/administrative_division/country,val
c9951065,the only clue you are still in new york city may be the hazy manhattan skyline floating 10 miles in the distance . ,new york city,manhattan,7,9,14,14,/location/location/contains,val
c957eef3,"the heartland states of punjab , haryana and uttar pradesh in northern india produce most of india 's wheat . ",india,haryana,12,12,6,6,/location/country/administrative_divisions,val
c903472f,"if a visitor stops in at lenell 's on van brunt street in red hook , brooklyn , in the late afternoon or evening , he or she will probably find a few locals standing around chewing the fat . ",red hook,brooklyn,13,14,16,16,/location/neighborhood/neighborhood_of,val
ca9261bd,"two probes , nicknamed leo and ike , find an equatorial mountain range , great plains , forests , an atmosphere drenched in water vapor and no oceans but a sea roughly the size of texas . ",texas,leo,35,35,4,4,/location/location/contains,val
c8a7de5d,"under bill richardson , new mexico just became the first state to join the chicago climate exchange , and committed itself to reduce the state government 's greenhouse gas emissions by 4 percent by 2006 . ",bill richardson,new mexico,1,2,4,5,/people/person/place_lived,val
